15:13:54.551 INFO  --- [restartedMain] c.s.example.ShoppingmallApplication : Starting ShoppingmallApplication on DESKTOP-PQ5J03J with PID 11572 (C:\Users\l4\Documents\Project\shoppingmall\bin\main started by l4 in C:\Users\l4\Documents\Project\shoppingmall) 
15:13:54.554 DEBUG --- [restartedMain] c.s.example.ShoppingmallApplication : Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE 
15:13:54.554 INFO  --- [restartedMain] c.s.example.ShoppingmallApplication : The following profiles are active: local 
15:13:55.608 DEBUG --- [restartedMain] c.s.example.config.AuthTokenFilter : Filter 'authenticationJwtTokenFilter' configured for use 
15:13:55.990 INFO  --- [restartedMain] c.s.example.ShoppingmallApplication : Started ShoppingmallApplication in 1.712 seconds (JVM running for 2.238) 
15:14:07.646 DEBUG --- [http-nio-9000-exec-2] c.s.e.m.O.readOrderDetails : ==>  Preparing: SELECT tb.od_id, tb.od_price, tb.od_count, tb.p_id, tb.o_id, ta.o_state, ta.o_date, ta.o_id, tc.user_name, tc.user_address, tc.user_phone, td.o_total_price, te.p_name, tf.pi_image, tf.pi_unique FROM orders ta LEFT JOIN order_detail tb ON (ta.o_id = tb.o_id) LEFT JOIN user tc ON (ta.user_id = tc.user_id) LEFT JOIN ( SELECT ta.o_id, SUM(tb.od_price*tb.od_count) o_total_price FROM orders ta LEFT JOIN order_detail tb ON (ta.o_id = tb.o_id) GROUP BY ta.o_id ) td ON ta.o_id = td.o_id LEFT JOIN product te ON (tb.p_id = te.p_id) LEFT JOIN product_img tf ON (te.p_id = tf.p_id) WHERE ta.o_id = ? 
15:14:07.665 DEBUG --- [http-nio-9000-exec-2] c.s.e.m.O.readOrderDetails : ==> Parameters: 0(Integer) 
15:14:07.680 DEBUG --- [http-nio-9000-exec-2] c.s.e.m.O.readOrderDetails : <==      Total: 0 
15:14:28.539 DEBUG --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : ==>  Preparing: SELECT user_id as username, user_password as password, user_name as name, user_address as address, user_phone as phone, user_email as email, user_point as point FROM user 
15:14:28.540 DEBUG --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : ==> Parameters:  
15:14:28.540 TRACE --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : <==    Columns: username, password, name, address, phone, email, point 
15:14:28.540 TRACE --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : <==        Row: jy0935, 11111, 주문자1, 대구시 동구, 010-2354-8451, abc@naver.com, 5000 
15:14:28.542 TRACE --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : <==        Row: jy1234, 356484, 주문자2, 대구시 서구, 010-1111-1234, abced@naver.com, 500000 
15:14:28.542 TRACE --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : <==        Row: jy12345, 4234, 이모씨, 대구시 수성구, 010-1111-1234, fruit@naver.com, 1000 
15:14:28.542 TRACE --- [http-nio-9000-exec-3] c.s.e.m.U.shopping_readUser : <==        Row: jy1515, 33311, 김모씨, 대구시 중구, 010-7555-1234, jkjk@naver.com, 20000 
